eisced,eduyrs,hincfel,hinctnta,uemp12m,gincdif,pdwrk,trstplt,trstprt,trstun,stfdem,imueclt,imwbcnt,imbgeco,feethngr,brncntr,ppltrst,nwspol,netusoft,rlgdgr,aesfdrk,health,happy,is_female,agea,domicil,lrscale,gdp_capita,gini_index,unemp_rate,is_populist_voter,cntry_BE,cntry_BG,cntry_CH,cntry_CY,cntry_ES,cntry_FI,cntry_FR,cntry_GB,cntry_GR,cntry_HR,cntry_HU,cntry_IE,cntry_IL,cntry_IS,cntry_IT,cntry_LV,cntry_NL,cntry_NO,cntry_PL,cntry_PT,cntry_RS,cntry_SE,cntry_SI,cntry_SK
3,12,2,5,6,2,1,4,3,3,5,3,4,8,1,1,2,30,3,9,1,2,7,0,58,4,7,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,3,6,2,1,1,1,0,0,0,0,4,1,1,7,15,5,5,2,3,8,1,38,4,8,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,2,6,1,0,5,5,4,6,5,5,5,1,1,5,120,1,5,1,2,9,1,79,1,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,6,6,1,1,8,9,10,9,9,9,9,1,1,7,10,5,9,1,1,9,1,34,4,2,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,2,5,6,1,1,3,4,7,5,7,5,6,1,2,7,20,4,5,1,1,8,1,36,4,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,3,9,1,2,0,5,6,6,9,6,6,6,2,1,7,60,4,4,2,3,7,0,65,1,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,5,2,2,1,4,4,4,4,5,5,5,1,1,5,30,2,5,2,2,5,1,42,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,7,6,2,1,6,5,7,10,8,8,8,1,1,7,45,5,6,1,2,9,0,60,4,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,2,5.856999999999998,6,1,1,1,1,1,1,3,1,2,1,1,6,30,5,5,1,1,8,0,28,3,6,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,2,6,1,0,9,9,5,9,4,4,4,1,1,8,15,1,8,2,3,7,1,80,4,6,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,1,6,1,0,10,10,10,9,9,8,8,2,2,5,30,2,7,1,2,8,1,75,3,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,2,9,6,2,1,3,4,0,6,2,2,6,1,1,6,90,5,2,1,2,9,1,57,4,2,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,6,6,5,0,2,2,2,2,4,3,5,1,1,2,60,5,7,2,3,8,0,76,3,6,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2.4330000000000003,2.9359999999999995,6,2,0,2,3,3,9,1,2,2,1,1,4,45,1,7,3,3,6,1,76,3,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,2,9,6,3,1,6,6,7,7,3,2,5,1,1,8,60,5,8,1,1,8,1,43,4,8,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,6,6,1,1,5,3,5,8,5,4,6,1,1,8,40,5,4,2,2,8,0,51,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,1,9,6,2,1,4,4,4,4,4,5,7,1,1,9,120,5,5,2,2,9,0,69,1,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,1,7.11,6,1,1,6,6,6,6,7,6,6,1,1,7,45,5,7,1,2,9,1,47,4,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,6,6,3,0,5.000666666666666,5.259666666666667,7,9,2,1,6,1,1,3,120,1,7,2,3,7,0,89,1,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,1,8,6,2,0,2,3,6,6,4,3,5,1,1,7,60,4,7,2,1,9,1,68,4,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,1,6,6,3,1,5,5,10,7,5,10,10,1,1,8,10,4,0,1,1,9,1,36,2,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,1,10,6,2,0,6,7,8,8,6,3,6,1,1,6,60,5,2,2,1,9,0,87,4,6,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,3,2,6,1,1,5,5,5,7,5,5,5,2,1,7,30,5,10,1,1,7,0,24,1,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,6,6,2,1,3,2,5,8,5,4,6,1,1,7,30,5,3,2,3,7,0,59,2,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,2,8,6,1,1,5,3,6,8,5,4,5,1,1,8,45,5,4,2,2,7,0,44,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,3,1,2,2,0,2,2,3.193333333333334,5,2,4,4.144,1,1,4,15,5,0,2,2,5,0,20,3,7,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,2,7,6,2,1,4,5,6,5,6,5,6,1,1,7,15,4,7,1,1,9,0,33,5,6,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,5,6,1,1,7,7,9,8,8,5,9,1.068,1,8,30,5,6,2,1,9,0,27,1,2,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,3,2,6,2,1,2,2,2,3,4,2,3,1,1,7,60,5,4,1,1,7,0,28,3,6,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,10,6,4,0,1,1,1,5,8,8,8,1,1,5,120,5,8,1,2,9,0,73,4,6,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,4,6,3,1,6,5,8,7,8,7,9,1,1,8,45,5,4,1,2,9,0,62,1,2,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,6,6,2,1,6,6,8,7,5,5,7,1,1,8,60,5,3,1,2,8,0,58,4,8,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,3,7,6,1,1,5,3,6,9,4,4,7,1,1,7,15,5,5,2,2,8,0,38,3,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,3,2.2313333333333336,6,1,0,2,2,2,5,5,3,5,1,1,2,35,1,7,3,4,5,1,85,3,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,7,6,4,0,3,3,5,2,4.340666666666666,4,7,1,1,5,30,4,6,1,2,4,1,74,3,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,20,1,9,2,1,1,5,5,8,5,8,8,8,1,1,8,0,5,0,1,2,9,0,42,2,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2,2,1,1,0,1,1,3,0,0,0,0,1,1,4,90,5,8,1,2,6,0,76,4,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2,4.376,2,2,0,5,5,7,4,2,2,1,1,1,5,60,3,6,2,2,7,1,70,2,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,1,1,2,0,0,0,0,1,4,4,4,2,1,5,0,5,0,3,3,5,0,28,1,7,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,1,10,6,2,1,7,6,5,6,5,4,4,1,1,8,10,5,5,1,1,10,0,18,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2,4,6,2,1,3,5,3,5,4,4,5,1,1,10,30,2,9,1,2,7,0,59,3,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,8,6,2,1,0,0,5,0,4,3,8,1,1,6,90,5,5,2,2,9,1,49,3,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,2,3,6,1,1,4,4,4,6,6,88,6,1,1,6,120,5,0,2,1,9,0,70,1,1,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,2,6,2,0,6,6,2,6,4,5,5,1,1,8,15,5,5,2,3,8,1,71,3,6,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,1,4.899666666666667,6,1,0,1,1,0,3,2,2,2,1,1,4,90,5,0,2,3,9,0,83,1,5.161666666666666,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,1,4,6,3,0,5,5,8,8,7,7,7,1,1,9,15,3,10,1,2,8,1,74,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18,2,3,1,1,0,5.243666666666667,5.048666666666667,7,8,10,8,8,1,1,9,30,5,0,2,2,5,1,86,1,2,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,1,7,6,5,1,1,1,0,7,2,1,5,1,1,6,15,5,6,2,1,10,0,63,1,8,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,3,6,2,0,3,3,3,5,5,5,5,1,1,5,0,5,4,1,1,10,1,61,4,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2,5,6,3,0,4,4,6,7,5.402,5,6,1,1,6,45,1,7,1,1,8,0,70,2,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.003666666666667,19,1,6,6,1,0,5,6,5,4,5,5,5,1,1,5,90,5,3,2,2,9,1,67,1,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,9,6,2,0,2,2,5,8,5,2,8,1,1,7,120,5,2,2,4,8,0,68,4,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,2,7,6,2,1,0,1,1,4,6,6,10,1,1,7,120,5,3,2,1,9,0,62,3,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,2,6,1,0,10,8,8,8,5,5,5,1,1,7,5,4,4,1,1,9,1,64,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,1,8,6,1,1,9,7,8,4,2,4,3,1,1,6,60,5,6,2,2,9,0,39,4,7,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,3,6,1,1,7,7,9,9,6,6,5,2,1,4,20,5,0,2,1,9,1,43,1,2,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,2,6,6,2,1,1,2,5,2,7,4,8,2,1,8,10,5,3,1,2,8,0,47,3,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,3,6,4,0,8,8,3,6,6,4,5,1,1,3,60,5,6,2,1,10,1,77,3,7,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,2,8,5.240666666666666,2,0,2,4,1,7,3,3,6,1,1,9,60,3,3,2,4,9,1,48,4,7,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,2,7,6,1,1,0,0,2,5,8,5,7,1,1,7,30,5,0,2,4,4,1,35,1,3,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,2,9,2,3,1,1,3,2,4,6,5,6,1,1,7,8,5,2,1,2,8,0,53,2,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,1,7.694333333333332,6,2,1,5,7,5,8,5,6,7,1,1,4,105,4,7,1,2,8,0,54,3,6,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,6,6,2,1,3,2,5,9,4,4,6,1,1,8,30,5,4,2,2,8,0,50,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2,6,6,1,1,3,2,6,6,3,4,4.929333333333333,1,1,6,15,5,5,3,2,6,1,33,3,7,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,2,2,6,1,0,2,2,2,6,1,0,2,1,1,0,60,1,0,1,3,9,0,73,4,6.328333333333334,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,2,4,1,2,1,4,6,6,7,0,0,1,1,2,3,30,5,0,2,3,8,0,55,1,9,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,2,6,1,0,9,9,9,8,6,5,5,1,1,8,90,5,1,2,2,9,1,64,1,6,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,1,3,6,2,0,8,7,6,8,10,5,8,1,1,8,60,4,8,1,2,9,1,76,1,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,1,6.813000000000001,6,1,1,5,5,3,8,6,5,6,1,1,8,10,5,5,2,1,9,0,57,3,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13,1,10,6,2,0,2,2,5,7,2,3,2,2,1,9,80,3,8,1,1,8,0,69,4,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,1,7,6,1,1,2,2,1,5,5,2,3,1,1,6,40,5,0,2,1,10,1,57,1,1,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,8,6,1,0,2,1,5,8,6,6,7,1,1,9,60,5,0,1,2,8,1,57,4,0,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,2,3,6,2,0,6,6,8,8,8,8,8,1,1,2,60,1,6,1,3,7,0,90,2,7,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,1,8,6,2,1,8,4,7,9,0,0,0,2,1,9,45,5,7,2,2,0,0,44,4,9,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,4,2,1,0,0,0,0,1.1526666666666667,0,0,0,1,1,2,90,5,0,3,1,9,1,72,1,7,60276.4153459141,29.8,5.201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,20,2,10,6,1,1,2,2,1,0,5,5,8,1,1,4,60,5,0,1,3,5,1,54,4,3.4249999999999994,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,6,6,2,1,7,7,8,7,5,5,5,1,1,8,30,5,4,1,2,9,1,59,3,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,1,6.790999999999998,6,2,1,7,7,6,7,5,3,3,1,1,6,60,5,7,1,2,8,1,50,1,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,3,6,1,0,5,5,5,6,5,3,5,1,1,5,30,5,4,2,2,5,1,71,4,4,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17,2,7,6,1,1,5,5,5,7,0,0,1,1,1,7,60,5,7,2.0216666666666665,3,10,1,54,4,7,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,6,6,2,0,7,5,5,5,2,2,7,1,1,5,60,5,5,2,2,8,1,65,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2,7,6,1,0,5,3,6,8,5,5,6,1,1,6,30,5,5,2,3,8,1,67,4,5,60276.4153459141,29.8,5.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
