eisced,eduyrs,hincfel,hinctnta,uemp12m,gincdif,pdwrk,trstplt,trstprt,trstun,stfdem,imueclt,imwbcnt,imbgeco,feethngr,brncntr,ppltrst,nwspol,netusoft,rlgdgr,aesfdrk,health,happy,gndr,agea,domicil,lrscale,is_populist_voter,cntry_BE,cntry_BG,cntry_CH,cntry_CY,cntry_ES,cntry_FI,cntry_FR,cntry_GB,cntry_GR,cntry_HR,cntry_HU,cntry_IE,cntry_IL,cntry_IS,cntry_IT,cntry_LV,cntry_NL,cntry_NO,cntry_PL,cntry_PT,cntry_RS,cntry_SE,cntry_SI,cntry_SK
3,12,2,5,6,2,1,4,3,3,5,3,4,8,1,1,2,30,3,9,1,2,7,1,58,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,3,6,2,1,1,1,0,0,0,0,4,1,1,7,15,5,5,2,3,8,2,38,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,2,6,1,0,5,5,4,6,5,5,5,1,1,5,120,1,5,1,2,9,2,79,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,6,6,1,1,8,9,10,9,9,9,9,1,1,7,10,5,9,1,1,9,2,34,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,2,5,6,1,1,3,4,7,5,7,5,6,1,2,7,20,4,5,1,1,8,2,36,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,3,9,1,2,0,5,6,6,9,6,6,6,2,1,7,60,4,4,2,3,7,1,65,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,5,2,2,1,4,4,4,4,5,5,5,1,1,5,30,2,5,2,2,5,2,42,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,7,6,2,1,6,5,7,10,8,8,8,1,1,7,45,5,6,1,2,9,1,60,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,2,5.373333333333334,6,1,1,1,1,1,1,3,1,2,1,1,6,30,5,5,1,1,8,1,28,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,2,6,1,0,9,9,5,9,4,4,4,1,1,8,15,1,8,2,3,7,2,80,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2,1,6,1,0,10,10,10,9,9,8,8,2,2,5,30,2,7,1,2,8,2,75,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,2,9,6,2,1,3,4,0,6,2,2,6,1,1,6,90,5,2,1,2,9,2,57,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,6,6,5,0,2,2,2,2,4,3,5,1,1,2,60,5,7,2,3,8,1,76,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2.2396666666666665,3.1656666666666666,6,2,0,2,3,3,9,1,2,2,1,1,4,45,1,7,3,3,6,2,76,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,2,9,6,3,1,6,6,7,7,3,2,5,1,1,8,60,5,8,1,1,8,2,43,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,6,6,1,1,5,3,5,8,5,4,6,1,1,8,40,5,4,2,2,8,1,51,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,1,9,6,2,1,4,4,4,4,4,5,7,1,1,9,120,5,5,2,2,9,1,69,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,1,7.348,6,1,1,6,6,6,6,7,6,6,1,1,7,45,5,7,1,2,9,2,47,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,6,6,3,0,3.0286666666666666,3.4696666666666665,7,9,2,1,6,1,1,3,120,1,7,2,3,7,1,89,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11,1,8,6,2,0,2,3,6,6,4,3,5,1,1,7,60,4,7,2,1,9,2,68,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,1,6,6,3,1,5,5,10,7,5,10,10,1,1,8,10,4,0,1,1,9,2,36,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,1,10,6,2,0,6,7,8,8,6,3,6,1,1,6,60,5,2,2,1,9,1,87,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,3,2,6,1,1,5,5,5,7,5,5,5,2,1,7,30,5,10,1,1,7,1,24,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,6,6,2,1,3,2,5,8,5,4,6,1,1,7,30,5,3,2,3,7,1,59,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,2,8,6,1,1,5,3,6,8,5,4,5,1,1,8,45,5,4,2,2,7,1,44,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,3,1,2,2,0,2,2,3.2946666666666657,5,2,4,4.1963333333333335,1,1,4,15,5,0,2,2,5,1,20,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
